name,release_date,english,developer,publisher,platforms,required_age,categories,genres,tags,achievements,average_playtime,price,short_description,estimated_sells,rating
Combat Air Patrol 2: Military Flight Simulator,2016-06-06,1,Sim155 Limited,Sim155 Limited,windows,0,Single-player;Partial Controller Support,Action;Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Flight,0,0,22.99,Feel the power of flying the AV8B Harrier II. A middle ground flight and naval combat simulator with mission planner &amp; fully dynamic open ended campaign. Showstopping VR.,9880,Negative
Fureraba ~Friend to Lover~,2018-05-04,1,Smee,NekoNyan Ltd.,windows,0,Single-player;Steam Cloud,Adventure;Casual;Simulation,Visual Novel;Simulation;Casual,0,393,23.79,"Springtime. The season of the cherry blossoms, and a time of new beginnings, new encounters, and new people. For Aoba Kyousuke, this new season marks the start of his second year in high school, and also the year he resolved himself to finally fulfill his long-cherished dream: finding a girlfriend.",4598,Very Positive
ARK: Survival Evolved,2017-08-27,1,Studio Wildcard;Instinct Games;Efecto Studios;Virtual Basement LLC,Studio Wildcard,windows;mac;linux,0,Single-player;Multi-player;MMO;Co-op;Steam Achievements;Full controller support;VR Support;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Adventure;Indie;Massively Multiplayer;RPG,Survival;Open World;Multiplayer,32,14154,44.99,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",9100434,Mixed
Biodrone Battle,2015-07-16,1,Bit Juggler,Bit Juggler,windows,0,Single-player;Steam Trading Cards,Action;Indie,Action;Indie;Anime,0,331,1.69,Fight hostile drones that try to keep their recently gained autonomy by either shooting or morphing into them.Biodrone Battle brings classic top-down action rooted in the pioneer gaming era of the 1980s into your living room.,15996,Negative
The Town of Light,2016-02-26,1,LKA,LKA;Wired Productions,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud,Sexual Content;Nudity;Adventure;Indie,Exploration;Psychological;Horror,20,0,13.99,"12 March 1938, Renée, 16, was ripped out of her world, her only fault was that of not knowing her place in the world.",46228,Mostly Positive
Picross Touch,2016-08-24,1,Jon Gallant,jgallant,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Free to Play;Indie;Strategy,Casual;Indie;Free to Play,18,4420,0.0,"Find the hidden image in this fun and addictive logic puzzle game. All puzzles have unique solutions, ensuring 100% logically solvable puzzle grids.",32760,Positive
The Beggar's Ride,2016-05-05,1,Bad Seed,Bad Seed,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie,Adventure;Indie;Casual,19,0,4.79,The Beggar’s Ride is a unique and innovative Platform Puzzle Adventure Game where the player can manipulate the environment to solve puzzles in a deep and intriguing story of discovery.,5928,Mostly Positive
Old School Musical,2018-09-13,1,La Moutarde,Dear Villagers,windows,0,Single-player;Multi-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Adventure;Action;Indie,13,0,10.29,"What has 50 amazing chiptune tracks, a loony story mode, 32 different chicken types to fight, and takes you on a tour of all your favorite retro games? It's Old School Musical! Tib and Rob are the heroes of a wacky adventure that will teach them where all of the bugs in our favorite games come from.",12084,Very Positive
Roller Coaster Rampage,2012-06-19,1,Pantera Entertainment,Pantera Entertainment,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards,Casual;Indie;Simulation,Simulation;Indie;Casual,15,0,6.99,"Roller Coaster Rampage introduces an innovative approach, and a specialized procedural coaster engine that allows players to build coasters in real-time as they ride them.",8690,Negative
V-Rally 4,2018-09-25,1,KT Racing,Bigben Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Racing,Racing;Offroad;Simulation,49,0,39.99,"The return of a legendary off-road racing game! Enjoy an extreme experience while becoming an expert in a demanding simulation. Take on the challenges of rallies, rallycross, drifts, buggies and hill climbs, and set off on a spectacular journey across every continent.",5776,Mixed
Pajama Sam 2: Thunder And Lightning Aren't So Frightening,2014-05-01,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,0,0,4.99,"Join Pajama Sam, the world's youngest superhero as he journeys to World Wide Weather, the storm-stirring factory in the sky!",9000,Very Positive
Sid Meier’s Civilization® VI,2016-10-20,1,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),windows;mac;linux,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,Strategy,Strategy;Turn-Based Strategy;Historical,241,3371,49.99,"Civilization VI offers new ways to interact with your world, expand your empire across the map, advance your culture, and compete against history’s greatest leaders to build a civilization that will stand the test of time. Play as one of 20 historical leaders including Roosevelt (America) and Victoria (England).",2987504,Mixed
Hatsune Miku VR / 初音ミク VR,2018-03-08,1,Crypton Future Media,Degica,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action,Anime;VR;Music,78,0,19.49,World famous virtual singer Hatsune Miku invites you to her VR music game! Aim for the perfect score as she sings and dances to some of her most iconic songs.,13072,Mostly Positive
Angels of Death,2016-12-19,1,Vaka Game Magazine;Makoto Sanada,Vaka Game Magazine;AGM PLAYISM,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie;RPG,RPGMaker;Anime;Indie,0,24,6.99,"&quot;Please... kill me.&quot; &quot;Help me get outta here, and I'll kill you.&quot; ~ Angels of Death is a psychological horror-adventure game, consisting of four episodes.",106652,Very Positive
Spaera,2016-09-13,1,Blazing Orb LLC,Blazing Orb LLC,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support,Casual;Indie;Early Access,Early Access;Casual;Indie,0,0,6.99,"SPAERA is a head-to-head puzzle fighting game, using an unique match-3 cascading mechanic as its core system. The world of SPAERA is heavily inspired by characters, gameplay and themes from games that we loved to play as we were growing up.",5564,Negative
Killing Floor 2,2016-11-18,1,Tripwire Interactive,Tripwire Interactive,windows,18,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Includes level editor,Action,Zombies;Co-op;Gore,257,2967,19.99,"6-player co-op Zed-slaughtering mayhem. And now, 12-player Versus Survival mode, too - now you can BE the Zeds!",3602092,Positive
Hammerfight,2009-10-28,1,Konstantin Koshutin,KranX Productions,windows;mac;linux,0,Single-player,Action;Indie,Action;Indie;Physics,0,256,3.99,"Hammerfight is about 2D battles of flying machines equipped with various slashing, piercing and blunt weaponry.A unique combat system is based on realistic physics simulation, and it ties the movements of the rider to the movements of your mouse. As you wave the mouse, your rider swings his warhammer, smashing the foe into the wall!",123635,Mixed
Bloody Trapland,2013-11-18,1,2Play,2Play,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Stats;Includes level editor,Action;Adventure;Casual;Indie,Platformer;Co-op;Indie,29,207,6.99,"Bloody Trapland is a fast-paced multiplayer platformer where the levels are filled with dozens of dangerous traps and tricky jumps that stand in your way! Play co-op with your friends or take on the challenges on your own. With support for up to 4 players at once, local and/or online.",235894,Positive
Town of Night,2016-11-17,1,Delusional Games,Back To Basics Gaming,windows,0,Single-player;Full controller support;Steam Trading Cards,Adventure;Indie;RPG,RPG;Adventure;Indie,0,263,1.59,"Town of Night is a RPG-First-person dungeon crawler hybrid. Visit the town that sits atop a series of vast and dangerous dungeons. Explore, battle, loot and survive!",5460,Negative
The Flame in the Flood,2016-02-24,1,The Molasses Flood,The Molasses Flood;Curve Digital,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie,Survival;Adventure;Great Soundtrack,36,125,14.99,"A rogue-lite river journey through the backwaters of a forgotten post-societal America. Forage, craft, evade predators.",247052,Mostly Positive
Tiny Bridge: Ratventure,2015-05-08,1,Estelion,EQ Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Adventure;Indie;Strategy,Indie;Puzzle;Strategy,11,225,1.59,"This mind-bending game will challenge you to create complex structures to get your woodland creatures over vast chasms. In a bridge-builder first, you'll guide your creatures and construct your bridges in real time. Use the weight of various creatures to balance your structures as you build them.",53754,Mixed
Postmortem: One Must Die (Extended Cut),2013-12-03,1,Unbound Creations,Unbound Creations,windows,0,Single-player;Captions available;Stats,Adventure;Indie;RPG,Adventure;RPG;Indie,0,0,1.99,"Narrative-adventure playing an Agent of Death who must take ONE life that could change the fate of a conflict-torn Nation!Think The Walking Dead meets Home and The Last Express, with a dash of To The Moon!Freeform exploration with Rich dialogueWhat might you learn searching the fundraising Gala and talking to patrons?",13193,Negative
TSIOQUE,2018-11-07,1,OhNoo Studio;Smile,OhNoo Studio,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Point & Click;Story Rich,31,0,10.99,"TSIOQUE (pronounced: &quot;chiock&quot;) is a dark but playful Point &amp; Click adventure, hand-animated in meticulous, frame-by-frame 2D. Escape the clutches of an Evil Wizard and discover the secrets hidden within the spellbound castle of your ancestors.",19646,Very Positive
Mind Snares: Alice's Journey,2015-04-23,1,World-Loom,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Hidden Object;Casual;Adventure,17,0,6.99,Escape from the Shadow Land!,28086,Positive
Call of Juarez®: Bound in Blood,2009-07-02,1,Techland,Ubisoft,windows,0,Single-player,Action,Western;Action;FPS,0,13,8.59,"THE OLD WEST, 1864. In order to save their family, the McCall brothers will kill anyone who stands between them and the legendary Gold of Juarez. But when the allure of women and money tests their bond as brothers, will the blood they share prove to be thicker?",106887,Positive
Tropico 5,2014-05-23,1,Haemimont Games,Kalypso Media Digital,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,RPG;Simulation;Strategy,Strategy;Simulation;City Builder,70,292,14.99,"Return to the remote island nation of Tropico and expand your Dynasty’s reign from the early colonial period to beyond the 21st Century, facing new challenges including advanced trading mechanics, technology and scientific research, as well as cooperative and competitive MULTIPLAYER.",745920,Mostly Positive
Willy-Nilly Knight,2017-11-10,1,Double Dice Games,Double Dice Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie;RPG,RPG;Adventure;Indie,15,0,10.99,"Willy-Nilly Knight is the great story, based on the legend of King Arthur. Immerse yourself in a single-player, isometric, story-driven RPG with real-time gameplay and turn-based combat, set in the colorful fantasy universe. Will you find the power to save the world in the war of gods? Find your answer.",9546,Mixed
Left-Hand Path,2017-11-10,1,Strange Company,Strange Company,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie;RPG,Adventure;Indie;RPG,52,0,23.79,"Dark Souls-inspired Room-Scale Virtual Reality RPG where you hold the power of magic in your hands. Learn arcane gestures to cast powerful spells. Battle fearsome foes who give no quarter, and find your way through a weird, magical landscape in over 15 hours of dedicated VR gameplay.",5074,Mostly Positive
Circa Infinity,2015-09-08,1,Kenny Sun,Kenny Sun,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Action;Indie,Indie;Action;Great Soundtrack,75,0,5.79,"Circa Infinity is a brain-melting circular platformer by Kenny Sun, with a pulse-pounding soundtrack by Jack + Jim Fay.",12896,Very Positive
Icewind Dale: Enhanced Edition,2014-10-30,1,Beamdog,Beamdog,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Adventure;RPG;Strategy,RPG;Fantasy;Adventure,50,202,14.99,Evil stirs beneath the Spine of the World. In the northernmost reaches of the Forgotten Realms lies the region of icy tundra known as Icewind Dale. Confront an evil that schemes beneath the carven glaciers and mountainsides to wreak destruction upon the face of Faerûn.,59976,Positive
Major\Minor,2016-10-01,1,Tall Tail Studios,Tall Tail Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Indie;RPG;Simulation,Horror;Visual Novel;Crime,136,744,14.99,"A highly engaging visual novel, with memorable characters and multiple endings. Traverse worlds, solve a murder mystery -- and partake in political revolution. Inspired by greats such as Steins;Gate, Tales of Symphonia, Persona 4 and Future Diary. An unforgettable science-fiction/fantasy adventure!",21684,Mostly Positive
The Price of Freedom,2016-12-22,1,Construct Studio,Construct Studio Inc.,windows,0,Single-player,Adventure;Indie,Indie;Adventure;Story Rich,0,36029,0.0,"You are Agent Zero. Your mission: assassinate Benjamin Miller, a radical who broke into CIA facilities and stole top secret chemical weapons research. Your mission quickly takes a dark turn as you learn the truth of what Miller was searching for that night.",18460,Very Positive
Thief™ Gold,2012-05-22,1,Looking Glass Studios,Square Enix,windows,0,Single-player,Action;Simulation,Stealth;Classic;First-Person,0,230,4.99,"Stalk your prey on the quest for stolen goods with your blackjack, sword, and an assortment of unique arrows. Steal for money and uncover the hidden agendas of your allies and enemies as you play through an unravelling story of deception and revenge.",141963,Very Positive
Blind Trust,2016-05-27,1,Viswanath Atlu;Laurie Banks;Rohan Bhukan;Nick Burnham;Avinash Kalapala;Yash Kapani;Katharine Marsh;Ankur Rathore;Hardit Singh;Anoop Nihar Srinivas;Ryan Guanyuhao Jiang;Robert Zhu,Good Vibration Games,windows,0,Multi-player;Co-op;Steam Achievements,Adventure;Free to Play;Indie,Free to Play;Adventure;Multiplayer,12,23,0.0,"Blind Trust is a two-player, cooperative game where the deaf leads the blind on a fantasy island. Navigate using only 3D sound as the blind Oracle, or lead the Oracle with magical sound beacons as the deaf Soldier. Work together to fight monsters, solve puzzles, and reach your ultimate goal.",71188,Negative
Donut County,2018-08-28,1,Ben Esposito,Annapurna Interactive,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Indie;Adventure;Casual,20,0,10.29,"Donut County is a story-based physics puzzle game where you play as an ever-growing hole in the ground. Meet cute characters, steal their trash, and throw them in a hole.",67526,Positive
Four Sided Fantasy,2016-08-30,1,Ludo Land,Serenity Forge,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support,Indie,Indie;Puzzle-Platformer;Platformer,11,0,6.99,"A game about the limits of your screen. Four Sided Fantasy is a seamless experience where you wrap the screen to solve mind-bending puzzles. Play as a man and woman who attempt to find each other throughout four seasons in a year, constantly separated by the boundaries of the screen.",11700,Mostly Positive
Drawful 2,2016-06-20,1,"Jackbox Games, Inc.","Jackbox Games, Inc.",windows;mac;linux,0,Local Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud,Casual;Indie;Strategy,Casual;Indie;Local Multiplayer,10,331,6.99,For 3-8 players and an audience of thousands! Your phones or tablets are your controllers! The game of terrible drawings and hilariously wrong answers.,16952,Positive
iO,2014-12-05,1,Gamious,Gamious,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Racing,Indie;Action;Racing,39,53,3.99,iO is an abstract physics platformer about size and speed. Grow bigger and smaller in order to solve some of the trickiest puzzles. Reach the exit as quickly as possible and grab a gold medal as your reward!,12744,Mostly Positive
DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,2018-09-04,1,Square Enix,Square Enix,windows,12,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,JRPG;RPG;Turn-Based Combat,58,2622,39.99,DRAGON QUEST® XI: Echoes of an Elusive Age™ follows the perilous journey of a hunted Hero who must uncover the mystery of his fate with the aid of a charismatic cast of supporting characters.,149872,Very Positive
Stock Car Extreme,2015-02-11,1,Reiza Studios,Reiza Studios,windows,0,Single-player;Multi-player;Partial Controller Support,Racing;Simulation;Sports,Racing;Simulation;Sports,0,0,10.99,"Stock Car Extreme is a realistic racing game simulating brazilian Stock Car V8 series, also featuring several extra series and tracks covering a wide variety of racing disciplines.",28644,Positive
Minion Masters,2016-12-02,1,BetaDwarf,BetaDwarf,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud,Action;Free to Play;Indie;Strategy;Early Access,Early Access;Strategy;Card Game,38,381,0.0,"Dive into 1v1 - or bring a friend to 2v2 - battle in this dangerously addictive fast-paced hybrid of deckbuilder, MOBA, and tower-defense.",777712,Positive
Kairo,2013-04-24,1,Locked Door Puzzle,Lupus Studios Limited,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie,Puzzle;Exploration;Indie,11,0,3.99,Enter the lost world of Kairo. Explore vast abandoned monuments. Bring strange and ancient machinery back to life. Slowly uncover the true purpose of Kairo and fulfil a great destiny.Kairo is an atmospheric 3D exploration and puzzle solving game.,120317,Mostly Positive
Curvatron,2016-01-29,1,Brave Bunny,Brave Bunny,windows;linux,0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Casual;Indie,Indie;Casual;Arcade,8,317,0.79,Curvatron is a minimalist twist on the classic snake games you played on your Nokia 3310 when you didn’t have your Gameboy around. Bring back the memories of the mindless addiction with this new way to play!,7540,Mostly Positive
Cosmic Sugar VR,2016-11-27,1,David Lobser,Object Normal,windows,0,Single-player,Free to Play;Simulation,Free to Play;Simulation;VR,0,0,0.0,"Cosmic Sugar is an elegant, GPU driven simulation space. Vive wands become attractors or repulsors which allow you to craft nebulas. The controls are very simple, but it takes some time to explore all of the possibilities. Thanks to East Forest for the trailer music.",13104,Very Positive
Rogue's Tale,2014-03-28,1,Epixx.org,Epixx.org,windows;linux,0,Single-player;Steam Achievements;Includes level editor,Indie;RPG,Rogue-like;RPG;Indie,130,0,3.99,Rogue's Tale is a single player turn-based dungeon crawling game.The game takes place in a place called Frostmourn Keep and its underlying dungeons located in the World's End Mountains. The goal is to overthrow the current king of the Frostmourn Keep and become the new king.,22392,Mixed
Delivery from the Pain,2017-10-05,1,DigiPotato Studio,HuaYiGame,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,Early Access;Adventure;Strategy,81,714,5.69,"Delivery from the Pain is a survival-themed experience game. You will play a survivor who must explore, fight and gather resources in a world full of zombies. You will make contact with other survivors who you can help or exploit to your own ends. Will you find a way to escape, with or without them?",14319,Mostly Positive
NEKO-NIN exHeart 2,2018-04-27,1,Whirlpool,Sekai Project,windows,0,Single-player;Steam Trading Cards,Casual;Indie,Nudity;Sexual Content;Casual,0,0,7.19,"This is a Sequel to NEKO-NIN exHeart. Japan. From time immemorial, there are those who possess superhuman abilities. These beings who looked like a cross between man and beast are called Demi-Humans. They acted as Ninja and served those in power.",5700,Very Positive
Midas Gold Plus,2017-02-01,1,Holyday Studios,Holyday Studios,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Steam Leaderboards,Adventure;Casual;Free to Play;Indie;RPG,Free to Play;Clicker;Indie,23,617,0.0,"God gave you the ability to turn everything you touch into gold. Take the opportunity to build an empire of unimaginable riches! Touch stones and they will be transmuted it into gold. Build a town and upgrade it. Select Champions and use their unique Abilities. Manage your kingdom, prepare for war and raid Mythical Cities.",66994,Positive
Oil Rush,2012-01-25,1,Unigine Corp.,Unigine Corp.,windows;mac;linux,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Indie;Strategy,Strategy;Indie;RTS,40,9,5.59,"Oil Rush is a naval strategy game that takes place in a world where nuclear war has melted the ice caps, changing the face of the planet forever. Oil Rush offers unique gameplay, avoiding micromanagement of every single unit, while still providing full control over all important aspects of strategy and economy.",27097,Negative
Tempest: Pirate Action RPG,2016-08-22,1,Lion's Shade,HeroCraft,windows;mac,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;RPG,Pirates;Naval;Action,15,102,14.99,"Tempest is a Pirate Open World Action RPG where you rove the seas across three continents filled with dozens of colonies and forts, hundreds of quests and countless ships to plunder. Customize your ship, trade, challenge fellow pirates and face terrible mythical monsters such as Kraken and Leviathan.",89544,Mixed
Chinese Chess/ Elephant Game: 象棋/ 中国象棋/ 中國象棋,2017-10-20,1,Wang Wenxi,Wang Wenxi,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Indie,14,0,7.19,The most popular Chinese board game.,5977,Mostly Positive
Rock 'N' Roll Defense,2016-08-10,1,NukGames,NukGames,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Strategy,Tower Defense;Strategy;Casual,240,305,0.79,"Rocked by an explosive soundtrack, choose your band, place your equipments and defend the Rock 'N' Roll from everyone and everything who try to pull it down, on a totally hardcore tower defense!",42120,Positive
Niko: Through The Dream,2015-07-17,1,Studio Paint,Studio Paint,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie,Adventure;Indie;Puzzle,44,0,6.99,"Niko is a spiritual journey through the dreams, where adventure, puzzles and mysteries come together in an oneiric and minimalist world. Dare to dream!",7006,Mostly Positive
Night Shift,2015-02-23,1,Brandon Brizzi,Brandon Brizzi,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie;Puzzle,8,0,3.99,"The sun has disappeared from the sky! Darkness chokes the land, depriving it of all things good. Now it’s time for you to figure out how to bring the sun back! Get behind the wheel and find the sun in Night Shift!",6634,Mixed
BlazeRush,2014-10-28,1,Targem Games,Targem Games,windows;mac;linux,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud;Steam Leaderboards,Action;Indie;Racing,Racing;Indie;Action,21,208,6.99,"BlazeRush is a dynamic arcade racing survival game with no health, no levelling and no brakes! You can assemble a team of friends to play in local or online multiplayer, choose a car to your taste and chase, blow up and cut off! Adapt your style and tactics to new enemies, obstacles and tracks.",76464,Positive
LOTUS-Simulator,2018-09-14,1,Oriolus Software GmbH,Oriolus Software GmbH,windows,0,Single-player;VR Support;Steam Workshop;Partial Controller Support,Simulation;Early Access,Early Access;Simulation;Singleplayer,0,0,32.99,"For the first time, bus, tram and train are simulated extremely realistic in a single game – and you can drive them, build them or create the world around. LOTUS – simulation will never be the same!",4902,Mixed
NightCry,2016-03-28,1,Nude Maker,AGM PLAYISM,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Horror,16,0,18.99,"NightCry is set on a cruise ship, and you have been invited along for the cruise of a (possibly short) lifetime. While your surroundings are luxurious and the guests are friendly, not everything is as it should be. The guests and the crew start to turn up dead, the victims of some foul murderer.",11180,Negative
汉匈决战/Han Xiongnu Wars,2017-12-07,1,"Chongqing Shangshixuan Technology Co., Ltd.,","Chongqing Shangshixuan Technology Co., Ltd.,",windows,0,Single-player,Action;RPG,RPG;Action;Historical,0,759,9.29,"Welcome to Han Xiongnu Wars. A stand-along game and synergy of historical Far East and multiple features in role-playing, real-time strategy and action gameplay. This game brings you to the eventful years of the early Han Dynasty, and faithfully presents the ancient eastern culture with many objects and scenes faithfully reconstructed...",93654,Negative
Hypnospace Outlaw,2019-03-12,1,Tendershoot;Michael Lasch;ThatWhichIs Media,No More Robots,windows;mac;linux,0,Single-player,Simulation,1990's;Simulation;Point & Click,0,0,15.49,"Greetings Enforcer, and thank you for enlisting in the Hypnospace Patrol Department! As the world falls into its slumber, Hypnospace becomes a bustling global village. These virtual streets aren't going to police themselves!",16416,Very Positive
RUN ROOMS,2017-11-02,1,IDALGAME,IDALGAME,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;Massively Multiplayer;Simulation,Indie;Action;Adventure,34,277,1.49,"First person indie horror. The main character must exit the maze. In the labyrinth, each path is always different. Be careful when you open doors and take the keys ...",14190,Mixed
Goodbye My King,2017-06-16,1,GK,Siberian Digital,windows,0,Single-player,Action;Indie;Early Access,Early Access;Action;Indie,0,0,3.19,"“Goodbye My King” is a single player, first-person stealth quest in the setting of the fairytale Middle Ages, in which you’ll have to return your castle, captured by an unprincipled impostor",4386,Mixed
Copy Kitty,2018-04-19,1,Nuclear Strawberry,Degica,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Includes level editor,Action;Indie,Action;Indie;Level Editor,56,0,11.39,"Boki can copy the special abilities of any foe and then combine up to 3 of them into a unique super-weapon! Blast through hordes of evil robots in cyberspace, while training to become a superhero!",5662,Very Positive
Anonymous ME,2017-10-13,1,RKTime,Chengdu longyuan Network Technology Co.Ltd,windows,0,Single-player;Partial Controller Support;Steam Cloud,Action;RPG;Early Access,Early Access;Action;RPG,0,0,4.99,"Anonymous Me is a 2D action platformer set in Qin Dynasty of China. Female assassin Meng Nv calls it quits after the organization she is in falls apart. Somehow she is plunged into a huge conspiracy. Players take the role of “Mang” and travels across China in Qin Dynasty and eliminate different enemies using cool combos, ultimately...",11352,Negative
Order of Battle: World War II,2015-04-30,1,The Artistocrats,Slitherine Ltd.,windows;mac,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Includes level editor,Free to Play;Simulation;Strategy,Strategy;World War II;Turn-Based,38,134,0.0,Order of Battle: World War II is breath of fresh air for all strategy fans. It is a game that takes wargaming to a new level by upgrading every single game element and rebooting the genre for a new generation of players.,71362,Mixed
FIST OF AWESOME,2014-07-03,1,I Fight Bears,I Fight Bears,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure;Indie,Indie;Action;Adventure,57,4,0.0,Ever wanted to punch a bear IN THE MOUTH? FIST OF AWESOME asks the eternal question &quot;what would happen if bears took over the world?&quot; and answers it with the epic tale of a lumberjack travelling through time punching bears in the face to save humanity.,21600,Mixed
Wave Beta,2017-04-12,1,"WaveVR, Inc.","WaveVR, Inc.",windows,0,Single-player;Online Multi-Player;MMO;Online Co-op;Includes level editor,Massively Multiplayer;Simulation;Early Access,Early Access;VR;Massively Multiplayer,0,13,0.0,Wave is the interstellar music festival of the future you can access at any time from anywhere.,16555,Very Positive
Natural Selection 2,2012-10-30,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;linux,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Indie;Strategy,Multiplayer;Strategy;FPS,67,627,6.99,A fast paced multiplayer shooter that pits aliens against humans in a strategic and action-packed struggle for survival!,779730,Positive
English Country Tune,2012-08-09,1,increpare games,increpare games,windows;mac;linux,0,Single-player;Steam Cloud,Indie;Casual,Puzzle;Indie;Casual,0,3,3.99,English Country Tune is a luxuriant abstract 3D puzzle game containing more than a hundred levels situated throughout 17 worlds.,26781,Mostly Positive
